8,colleagues,colleague
2,villagers,villager
2,airs,air
3,blurs,blur
4,gliders,glider
1,literatures,literature
1,reservoirs,reservoir
1,bigwigs,bigwig
1,incursions,incursion
1,windings,winding
6,xts,-2
9,cfs,-2
36,sls,-2
4,microseconds,microsecond
4,valves,valve
28,batteries,battery
1,caravans,caravan
71,hs,-2
1,disconnects,disconnect
4,subprograms,subprogram
1,substructures,substructure
1,availabilities,availability
3,balkans,balkan
3,inconsistencies,inconsistency
9,bis,-2
7,repairs,repair
3,aphorisms,aphorism
1,gomas,goma
15,bounties,bounty
2,apologies,apology
3,organisers,organiser
1,experimenters,experimenter
29,descriptions,description
30,vss,-2
4,conquerors,conqueror
1,nineties,ninety
3,disruptions,disruption
1,crss,-2
4,situations,situation
1,gpas,gpa
1,sucres,sucre
2,vitamins,vitamin
1,onsets,onset
1,pylons,pylon
1,plumbers,plumber
15,gambas,gamba
7,antennas,antenna
1,ecfs,-2
2,nits,nit
17,dominoes,domino
238,sas,-2
4,lumina,lumen
1,catenae,catena
4,interiors,interior
1,hubcaps,hubcap
13,sbs,-2
2,reds,red
2,gorillas,gorilla
5,opens,open
8,puppies,puppy
5,bullets,bullet
2,ects,ect
38,sprockets,sprocket
1,fcss,fcs
1,congregations,congregation
2,eyeballs,eyeball
2,costas,costa
79,boundaries,boundary
17,sdss,-2
9,authorities,authority
5,overrides,override
1,wobbles,wobble
1,taxons,taxon
10,testes,testis
189,obs,-2
5,kgs,-2
1,peris,peri
1,barks,bark
1,launchs,launch
1,warlords,warlord
1,widths,width
2,envelopes,envelope
4,dicks,dick
1,biologists,biologist
2,tableaux,tableau
2,paparazzi,paparazzo
3,mcss,-2
1,warts,wart
1,liberties,liberty
1,landers,lander
1,wus,-2
4,vikings,viking
1,necks,neck
1,yawns,yawn
4,febs,feb
4,tilings,tiling
35,branches,branch
2,switchers,switcher
45,quizzes,quiz
2,rooks,rook
6,nvs,-2
1,sniffles,sniffle
3,sticks,stick
1,congresses,congress
149,ls,-2
4,finds,find
2,projectiles,projectile
2,goblins,goblin
12,ans,-2
1,switchboards,switchboard
2,tropics,tropic
1,crowns,crown
1,quadrupeds,quadruped
2,sinais,sinai
1,givers,giver
1,wrestlers,wrestler
3,ssss,-1
10,honours,honour
23,galleries,gallery
3,females,female
3,escapes,escape
1,lids,lid
6,bottles,bottle
3,repertoires,repertoire
1,dvds,dvd
1,concords,concord
1,compactions,compaction
1,licences,licence
3,cses,-2
2,scrips,scrip
2,visas,visa
4,makes,make
7,sunglasses,sunglass
3,tessellations,tessellation
8,disciples,disciple
2,sketchs,sketch
2,roomies,roomy
1022,libraries,library
2,palms,palm
2,resonances,resonance
16,anomalies,anomaly
1,piers,pier
2,tadpoles,tadpole
1,civilians,civilian
1,hoes,hoe
1,chagas,chaga
1,snipes,snipe
1,fears,fear
1,chineses,chinese
4,staples,staple
2,seismograms,seismogram
2,lus,-2
1,splices,splice
3,arrests,arrest
1,tuitions,tuition
1,tigers,tiger
5,visits,visit
42,lbs,-2
26,nos,-2
4,matchsticks,matchstick
2,strangers,stranger
1,primi,primo
7,kts,-2
2,looks,look
1,lxs,-2
2,syllabi,syllabus
2,evs,-2
1,televisions,television
1,bitts,bitt
10,halls,hall
3,cartridges,cartridge
1,embers,ember
1,pipeworks,pipework
5,kps,-2
1,hangs,hang
1,chants,chant
2,machinations,machination
1,stakeholders,stakeholder
11,bas,-2
1,scorpions,scorpion
1,outlooks,outlook
1,envys,envy
2,taxis,taxi
52,companies,company
2,siblings,sibling
9,tenders,tender
1,migraines,migraine
1,activitys,activity
1,preys,prey
3,importers,importer
9,allergens,allergen
6,europass,europa
1,gales,gale
1,drips,drip
1,regimes,regime
2,campsites,campsite
1,concessions,concession
3,latitudes,latitude
6,skyscrapers,skyscraper
1,coops,coop
3,installments,installment
22,kss,-2
2,exponents,exponent
1,ducts,duct
3,nails,nail
1,classmates,classmate
2,manufacturers,manufacturer
10,cids,cid
1,terpenes,terpene
39,servos,servo
1,companions,companion
2,naves,nave
1,skis,ski
1,dys,dy
7,lies,lie
1,bracers,bracer
3,garages,garage
4,prokaryotes,prokaryote
2,oddities,oddity
57,nms,-2
6,flashes,flash
1,congratulations,congratulation
73,mms,-2
